companyName,companyImage
신한카드,https://financial.pstatic.net/pie/common-bi/1.0.0/images/CD_SHINHAN_Profile.png
삼성카드,https://financial.pstatic.net/pie/common-bi/1.0.0/images/CD_SAMSUNG_Profile.png
현대카드,https://financial.pstatic.net/pie/common-bi/1.0.0/images/CD_HYUNDAI_Profile.png
롯데카드,https://financial.pstatic.net/pie/common-bi/1.0.0/images/CD_LOTTE_Profile.png
하나카드,https://financial.pstatic.net/pie/common-bi/1.0.0/images/CD_HANA_Profile.png
KB국민카드,https://financial.pstatic.net/pie/common-bi/1.0.0/images/CD_KB_Profile.png
우리카드,https://financial.pstatic.net/pie/common-bi/1.0.0/images/CD_WOORI_Profile.png
BC카드,https://financial.pstatic.net/pie/common-bi/1.0.0/images/CD_BC_Profile.png
IBK기업은행,https://financial.pstatic.net/pie/common-bi/1.0.0/images/CD_IBK_Profile.png
NH농협은행,https://financial.pstatic.net/pie/common-bi/1.0.0/images/CD_NH_Profile.png
SC은행,https://financial.pstatic.net/pie/common-bi/1.0.0/images/CD_SC_Profile.png
부산은행,https://financial.pstatic.net/pie/common-bi/1.0.0/images/CD_BUSAN_Profile.png
